Date : 2022-11-10 00:38:28
Directory : /Users/chris/playground/oas
Total : 166 files,  69282 codes, 607 comments, 1551 blanks, all 71440 lines

Languages
+--------------+------------+------------+------------+------------+------------+
| language     | files      | code       | comment    | blank      | total      |
+--------------+------------+------------+------------+------------+------------+
| JSON         |          6 |     60,493 |          0 |          6 |     60,499 |
| Elixir       |         82 |      4,403 |        449 |        961 |      5,813 |
| JavaScript   |         46 |      3,524 |         90 |        375 |      3,989 |
| CSS          |          6 |        302 |         13 |         47 |        362 |
| HEEx         |         12 |        197 |          0 |         51 |        248 |
| Markdown     |          3 |        144 |          0 |         89 |        233 |
| Database     |          2 |        121 |          0 |          2 |        123 |
| HTML         |          2 |         40 |         46 |          2 |         88 |
| CSV          |          2 |         31 |          0 |          5 |         36 |
| Docker       |          1 |         15 |          8 |          8 |         31 |
| Shell Script |          1 |          8 |          1 |          4 |         13 |
| Ignore       |          1 |          2 |          0 |          1 |          3 |
| XML          |          2 |          2 |          0 |          0 |          2 |
+--------------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                           | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                              |        166 |     69,282 |        607 |      1,551 |     71,440 |
| assets                                                                                         |          4 |        349 |         44 |         41 |        434 |
| assets/css                                                                                     |          2 |        192 |         12 |         26 |        230 |
| assets/js                                                                                      |          1 |         12 |         25 |          9 |         46 |
| assets/vendor                                                                                  |          1 |        145 |          7 |          6 |        158 |
| config                                                                                         |          5 |        131 |        169 |         50 |        350 |
| dbs                                                                                            |          2 |        121 |          0 |          2 |        123 |
| example-data                                                                                   |          2 |         31 |          0 |          5 |         36 |
| lib                                                                                            |         67 |      2,933 |        226 |        654 |      3,813 |
| lib/oas                                                                                        |         19 |      1,052 |         56 |        272 |      1,380 |
| lib/oas/members                                                                                |          6 |        388 |         12 |        107 |        507 |
| lib/oas/tokens                                                                                 |          1 |         16 |          0 |          3 |         19 |
| lib/oas/trainings                                                                              |          4 |         43 |          0 |          8 |         51 |
| lib/oas/transactions                                                                           |          2 |         71 |          0 |          9 |         80 |
| lib/oas_web                                                                                    |         46 |      1,774 |        164 |        349 |      2,287 |
| lib/oas_web/controllers                                                                        |          7 |        309 |         28 |         73 |        410 |
| lib/oas_web/schema                                                                             |         12 |        963 |         60 |        133 |      1,156 |
| lib/oas_web/templates                                                                          |         12 |        197 |          0 |         51 |        248 |
| lib/oas_web/templates/layout                                                                   |          4 |         49 |          0 |          6 |         55 |
| lib/oas_web/templates/member_confirmation                                                      |          2 |         22 |          0 |          7 |         29 |
| lib/oas_web/templates/member_registration                                                      |          1 |         24 |          0 |          7 |         31 |
| lib/oas_web/templates/member_reset_password                                                    |          2 |         33 |          0 |         10 |         43 |
| lib/oas_web/templates/member_session                                                           |          1 |         21 |          0 |          7 |         28 |
| lib/oas_web/templates/member_settings                                                          |          1 |         40 |          0 |         14 |         54 |
| lib/oas_web/templates/page                                                                     |          1 |          8 |          0 |          0 |          8 |
| lib/oas_web/views                                                                              |          9 |         55 |         27 |         15 |         97 |
| oas-web                                                                                        |         43 |     33,401 |         70 |        363 |     33,834 |
| oas-web-public                                                                                 |         17 |     30,687 |         35 |         92 |     30,814 |
| oas-web-public/public                                                                          |          2 |         45 |         23 |          2 |         70 |
| oas-web-public/src                                                                             |         12 |        403 |         12 |         55 |        470 |
| oas-web-public/src/App                                                                         |          4 |         87 |          2 |         15 |        104 |
| oas-web-public/src/Home                                                                        |          1 |          6 |          0 |          3 |          9 |
| oas-web-public/src/Members                                                                     |          3 |        237 |          1 |         26 |        264 |
| oas-web/public                                                                                 |          2 |         45 |         23 |          2 |         70 |
| oas-web/src                                                                                    |         38 |      3,076 |         47 |        326 |      3,449 |
| oas-web/src/Analysis                                                                           |          1 |        100 |          0 |         10 |        110 |
| oas-web/src/App                                                                                |          6 |        253 |          1 |         39 |        293 |
| oas-web/src/Member                                                                             |          6 |        489 |          0 |         43 |        532 |
| oas-web/src/MembershipPeriod                                                                   |          4 |        257 |          0 |         29 |        286 |
| oas-web/src/Money                                                                              |          7 |        861 |          5 |         87 |        953 |
| oas-web/src/MoneyImport                                                                        |          3 |        319 |          0 |         38 |        357 |
